"Season","Conference","Player","Team","BA","OBP","SLG","OPS","GP","PA","AB","R","H","2B","3B","HR","RBI","HBP","BB","K","SB","CS"
2021,"All Division I","Bri Vire","Tennessee State",0.265,0.333,0.311,0.644,44,153,132,8,35,4,1,0,10,1,13,9,4,0
2021,"All Division I","Bri Walker","Central Connecticut",0.207,0.342,0.38,0.723,37,113,92,14,19,1,0,5,14,3,16,27,0,0
2021,"All Division I","Briana Marcelino","Connecticut",0.32,0.392,0.539,0.931,42,150,128,28,41,7,0,7,26,5,12,16,18,0
2021,"All Division I","Briana Martinez","New Mexico",0.186,0.297,0.284,0.581,43,120,102,8,19,5,1,1,10,3,13,39,5,0
2021,"All Division I","Briana Perez","UCLA",0.353,0.419,0.7,1.119,54,195,170,52,60,10,5,13,41,2,18,33,13,1
2021,"All Division I","Brianna Alston","Mississippi Valley",0.294,0.333,0.338,0.672,22,72,68,11,20,3,0,0,5,0,4,9,2,0
2021,"All Division I","Brianna Castro","Buffalo",0.163,0.299,0.318,0.617,52,156,129,24,21,2,0,6,13,9,16,34,0,0
2021,"All Division I","Brianna Clary","Stetson",0.327,0.352,0.356,0.708,34,110,104,14,34,1,1,0,3,0,4,14,12,2
2021,"All Division I","Brianna Grays","Prairie View",0.391,0.436,0.391,0.827,27,85,69,14,27,0,0,0,12,0,7,11,19,5
2021,"All Division I","Brianna Koonce","Rider",0.274,0.344,0.333,0.677,35,98,84,8,23,2,0,1,10,4,6,14,1,0
2021,"All Division I","Brianna Pinto","Fordham",0.431,0.462,0.553,1.014,45,130,123,33,53,5,2,2,26,1,6,27,28,0
2021,"All Division I","Bridget Nasir","Quinnipiac",0.187,0.308,0.22,0.528,36,112,91,11,17,0,0,1,8,2,14,18,6,0
2021,"All Division I","Brigette Nordberg","NC State",0.171,0.236,0.293,0.529,40,89,82,8,14,2,1,2,7,1,6,20,0,0
2021,"All Division I","Briley Sidor","Dayton",0.278,0.314,0.299,0.613,40,107,97,17,27,2,0,0,1,0,5,11,16,0
2021,"All Division I","Brissa Alvarado","Coppin State",0.333,0.448,0.437,0.884,31,105,87,11,29,4,1,1,3,2,16,11,0,0
2021,"All Division I","Britaney Shaw","Houston",0.252,0.349,0.472,0.821,50,151,127,17,32,7,0,7,25,3,17,30,0,0
2021,"All Division I","Britanny Phillips","Florida International",0.247,0.333,0.281,0.614,35,105,89,11,22,3,0,0,4,2,10,8,5,0
2021,"All Division I","Brittany Anderson","Valparaiso",0.2,0.325,0.338,0.663,31,79,65,5,13,3,0,2,6,4,8,20,0,0
2021,"All Division I","Brittany Galvez","California Baptist",0.279,0.318,0.365,0.684,42,112,104,2,29,9,0,0,14,0,6,9,0,0
2021,"All Division I","Brittany Jackson","Kansas",0.365,0.434,0.484,0.918,40,146,126,29,46,10,1,1,21,3,13,11,10,0
2021,"All Division I","Brittany Pickett","North Carolina",0.256,0.439,0.512,0.95,38,114,86,11,22,1,0,7,17,3,25,25,0,0
2021,"All Division I","Brittany Sundermeier","North Florida",0.264,0.359,0.31,0.67,39,108,87,15,23,4,0,0,12,0,14,12,4,2
2021,"All Division I","Brittnee Rossi","Hawaii",0.326,0.432,0.457,0.889,31,111,92,21,30,7,1,1,13,4,14,21,8,1
